symbol,description,exch,last,volume,high,low,close,change,average_volume,volatility,date
BGI,Birks Group Inc,A,0.7775,36766,0.85,0.770101,0.7775,-0.04,5273,0.1027639871382636,2026-04-15
BHB,Bar Harbor Bankshares Inc,A,34.55,56206,34.85,34.44,34.55,-0.41,25107,0.011866859623733827,2026-04-15
BKTI,BK Technologies Corp,A,95.28,73267,95.72,93.27,95.28,1.53,8674,0.025713685978169636,2026-04-15
BMNR,BitMine Immersion Technologies Inc,N,22.34,40535660,22.44,21.15,22.34,0.86,0,0.05774395702775303,2026-04-15
BQ,Boqii Holding Ltd,A,0.778224,34914,0.8,0.7513,0.778224,0.01,49776,0.06257838360163664,2026-04-15
BRBS,Blue Ridge Bankshares Inc,A,3.51,542282,3.53,3.45,3.51,0.03,2124,0.022792022792022686,2026-04-15
BRN,Barnwell Industries Inc,A,1.09,295593,1.09,1.01,1.09,0.04,232591,0.0733944954128441,2026-04-15
BTG,B2Gold Corp Common shares (Canada),A,4.92,29634756,5.02,4.82,4.92,-0.02,0,0.040650406504064894,2026-04-15
BURU,Nuburu Inc,A,0.2195,29514500,0.2242,0.2019,0.2195,0.02,0,0.10159453302961283,2026-04-15
CANF,"Can-Fite Biopharma Ltd American Depositary Shares, each representing two (2) Ordinary Shares",A,3.17,34835,3.24,3.03,3.17,0.12,0,0.06624605678233451,2026-04-15
CATX,Perspective Therapeutics Inc,A,4.38,770600,4.39,4.05,4.38,0.13,0,0.07762557077625568,2026-04-15
CCEL,Cryo-Cell International Inc,A,3.71,18214,3.85,3.41,3.71,0.04,0,0.11859838274932613,2026-04-15
CET,Central Securities Corp,A,52.74,115773,52.83,51.8701,52.74,0.44,18913,0.018200606750094758,2026-04-15
CEV,Eaton Vance CA Muni Income Trust,A,10.26,10518,10.305,10.25,10.26,-0.07,0,0.005360623781676386,2026-04-15
CHOW,ChowChow Cloud International Holdings Ltd,A,0.4505,201478,0.4835,0.4502,0.4505,-0.04,0,0.07391786903440621,2026-04-15
CIK,Credit Suisse Asset Mgmt Income Fund Inc,A,2.6,690813,2.62,2.58,2.6,-0.01,0,0.015384615384615398,2026-04-15
CITR,CitroTech Inc. Common Stock,A,8.4,79637,9.05,8.27,8.4,-0.43,0,0.09285714285714299,2026-04-15
CLDI,Calidi Biotherapeutics Inc,A,0.2706,5438950,0.2958,0.258,0.2706,0.01,0,0.13968957871396895,2026-04-15
CLM,Cornerstone Strategic Value Fund Inc,A,7.56,1581545,7.6152,7.51,7.56,-0.05,0,0.01391534391534391,2026-04-15
CMCL,Caledonia Mining Corp PLC,A,25.07,82822,25.9,24.88,25.07,-0.72,0,0.040686078978859175,2026-04-15
CMT,Core Molding Technologies Inc,A,26.36,36169,26.4,25.31,26.36,0.43,9967,0.041350531107738994,2026-04-15
CNL,Collective Mining Ltd. Common Shares,A,19.32,64212,19.515,18.81,19.32,-0.17,0,0.03649068322981376,2026-04-15
